Date,Open,High,Low,Close,Adj Close,Volume
2016-12-05,110.089996,110.589996,109.879997,110.389999,108.901024,824800
2016-12-06,110.570000,110.709999,110.290001,110.680000,109.187111,737600
2016-12-07,110.570000,112.099998,110.339996,112.019997,110.509033,1124900
2016-12-08,112.059998,112.550003,111.839996,112.349998,110.834579,694400
2016-12-09,112.680000,113.059998,112.570000,112.970001,111.446220,924100
2016-12-12,112.879997,112.900002,112.370003,112.639999,111.120667,883800
2016-12-13,113.080002,113.930000,113.010002,113.610001,112.077591,637400
2016-12-14,113.589996,113.849998,112.669998,112.879997,111.357437,1226700
2016-12-15,113.010002,113.680000,112.879997,113.110001,111.584343,691200
2016-12-16,113.360001,113.510002,112.650002,112.809998,111.288376,612100
2016-12-19,113.019997,113.599998,112.889999,113.010002,111.485687,756800
2016-12-20,113.419998,113.529999,113.239998,113.480003,111.949348,640000
2016-12-21,113.449997,113.510002,113.209999,113.230003,111.702713,802900
2016-12-22,112.589996,112.589996,112.029999,112.339996,111.343910,663200
2016-12-23,112.320000,112.540001,112.260002,112.529999,111.532234,504700
2016-12-27,112.709999,113.290001,112.639999,112.910004,111.908867,805500
2016-12-28,113.190002,113.190002,111.980003,112.019997,111.026756,829800
2016-12-29,112.120003,112.290001,111.800003,112.070000,111.076317,764300
2016-12-30,112.370003,112.370003,111.089996,111.480003,110.491554,912500
2017-01-03,112.139999,112.690002,111.699997,112.279999,111.284454,874000
2017-01-04,112.589996,113.300003,112.570000,113.220001,112.216118,605000
2017-01-05,113.139999,113.529999,113.040001,113.449997,112.444084,850600
2017-01-06,113.660004,114.519997,113.389999,114.309998,113.296448,1062000
2017-01-09,114.230003,114.440002,114.110001,114.269997,113.256805,756100
2017-01-10,114.320000,114.660004,114.050003,114.309998,113.296448,879900
2017-01-11,114.250000,114.470001,113.690002,114.360001,113.346016,773000
2017-01-12,114.110001,114.410004,113.419998,114.320000,113.306366,669700
2017-01-13,114.430000,114.779999,114.389999,114.629997,113.613617,539100
2017-01-17,114.290001,114.680000,114.230003,114.489998,113.474854,906500
2017-01-18,114.709999,114.889999,114.449997,114.879997,113.861397,596900
2017-01-19,114.919998,115.080002,114.300003,114.559998,113.544235,577500
2017-01-20,114.820000,115.099998,114.430000,114.739998,113.722641,687800
